maturity,log_moneyness,strike,true_call_price,observed_call_price,map_call_price,latent_price_sd,observed_predictive_sd,latent_lower,latent_upper,observed_lower,observed_upper
1.5,0.0499999999999999,105.12710963760242,8.012687006240814,8.046665085806556,8.041191108366531,0.02028401576093594,0.04490568028534254,8.001435168013254,8.080947048719809,7.953177592305989,8.129204624427073
1.5,0.0999999999999999,110.51709180756475,6.209953879302937,6.225419229330725,6.224349877032097,0.01719480429734392,0.03549294964356572,6.190648679888088,6.258051074176105,6.154784974025614,6.2939147800385795
1.5,0.1499999999999999,116.1834242728283,4.704472733931252,4.702486466995493,4.710677504602509,0.01314813756948993,0.026947636522593115,4.684907628502531,4.7364473807024865,4.65786110754975,4.763493901655267
1.5,0.1999999999999999,122.14027581601698,3.484117118409756,3.4876446707246864,3.4884709667616973,0.010606222647499249,0.020395312236350313,3.4676831523605856,3.509258781162809,3.4484968893250016,3.528445044198393
1.5,0.2499999999999999,128.40254166877415,2.523039180403236,2.520972738425256,2.528330781661672,0.008138856124536551,0.015012799427893185,2.512378916782227,2.5442826465411166,2.4989062354758778,2.557755327847466
1.5,0.3,134.9858807576003,1.7860159688913568,1.794386565987592,1.7913092695389154,0.008404733154133844,0.01306290700388687,1.7748362952571435,1.8077822438206874,1.7657064422779012,1.8169120967999297
2.0,-0.3,74.08182206817179,27.95434936190001,27.85477042543804,27.913579110006644,0.04455892152450471,0.14670255176242145,27.826245228628668,28.00091299138462,27.626047392112174,28.201110827901115
2.0,-0.25,77.8800783071405,24.954586407891565,24.80808428608146,24.940487377987143,0.04365711416621327,0.13219012136708605,24.854921006552413,25.026053749421873,24.681399500995674,25.199575254978612
2.0,-0.2,81.87307530779819,22.01012870812805,22.062432251886356,22.025211077175655,0.041843140985853886,0.11773696357249536,21.94320002784335,22.10722212650796,21.79445086892446,22.25597128542685
2.0,-0.15,86.07079764250578,19.16178675262644,19.32824469658732,19.200696038913563,0.039359348596263395,0.10357852147405094,19.123553133209928,19.277838944617198,18.997685867252514,19.40370621057461
2.0,-0.1,90.48374180359596,16.452952974928472,16.441712016151893,16.508736956849212,0.03621461512758723,0.08988320137110967,16.43775761548516,16.579716298213263,16.332569119346676,16.68490479435175
